title,price,link
Apple iPhone 15 Pro Max (512 GB) - Titânio Azul - Distribuidor Autorizado,10829,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-512-gb-titnio-azul-distribuidor-autorizado/p/MLB1027172716#searchVariation%3DMLB1027172716%26position%3D34%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (256 GB) - Titânio Natural - Distribuidor Autorizado,8749,https://www.mercadolivre.com.br/apple-iphone-15-pro-256-gb-titnio-natural-distribuidor-autorizado/p/MLB1027172703#searchVariation%3DMLB1027172703%26position%3D35%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (128 GB) - Titânio Preto - Distribuidor Autorizado,8056,https://www.mercadolivre.com.br/apple-iphone-15-pro-128-gb-titnio-preto-distribuidor-autorizado/p/MLB1027172704#searchVariation%3DMLB1027172704%26position%3D36%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (256 GB) - Azul - Distribuidor Autorizado,6110,https://www.mercadolivre.com.br/apple-iphone-15-256-gb-azul-distribuidor-autorizado/p/MLB1027172673#searchVariation%3DMLB1027172673%26position%3D37%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (128 Gb) - Preto,5299,https://produto.mercadolivre.com.br/MLB-3596071897-apple-iphone-15-128-gb-preto-_JM?searchVariation=179826354186#searchVariation%3D179826354186%26position%3D48%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (256 GB) - Titânio Preto - Distribuidor Autorizado,10077,https://www.mercadolivre.com.br/apple-iphone-15-pro-256-gb-titnio-preto-distribuidor-autorizado/p/MLB1027172701#searchVariation%3DMLB1027172701%26position%3D38%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (128 GB) - Titânio Azul - Distribuidor Autorizado,8056,https://www.mercadolivre.com.br/apple-iphone-15-pro-128-gb-titnio-azul-distribuidor-autorizado/p/MLB1027172709#searchVariation%3DMLB1027172709%26position%3D39%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro Max (256 GB) - Titânio Azul - Distribuidor Autorizado,9529,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256-gb-titnio-azul-distribuidor-autorizado/p/MLB1027172717#searchVariation%3DMLB1027172717%26position%3D40%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro Max (512 GB) - Titânio Preto - Distribuidor Autorizado,12499,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-512-gb-titnio-preto-distribuidor-autorizado/p/MLB1027172725#searchVariation%3DMLB1027172725%26position%3D41%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (128 GB) - Titânio Branco - Distribuidor Autorizado,8056,https://www.mercadolivre.com.br/apple-iphone-15-pro-128-gb-titnio-branco-distribuidor-autorizado/p/MLB1027172707#searchVariation%3DMLB1027172707%26position%3D42%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Plus (256 GB) - Rosa - Distribuidor Autorizado,7883,https://www.mercadolivre.com.br/apple-iphone-15-plus-256-gb-rosa-distribuidor-autorizado/p/MLB1027172695#searchVariation%3DMLB1027172695%26position%3D43%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (512 GB) - Amarelo - Distribuidor Autorizado,7221,https://www.mercadolivre.com.br/apple-iphone-15-512-gb-amarelo-distribuidor-autorizado/p/MLB1027172674#searchVariation%3DMLB1027172674%26position%3D44%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 14 Plus (256 GB) - Estelar - Distribuidor Autorizado,5863,https://www.mercadolivre.com.br/apple-iphone-14-plus-256-gb-estelar-distribuidor-autorizado/p/MLB1019615327#searchVariation%3DMLB1019615327%26position%3D45%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
